Name,Isolated Atom,Overlapping Atoms,Undercoordinated Carbon,Overcoordinated Carbon
ALIDIL_ASR,False,False,False,False
ALIDIL_FSR,False,False,False,False
c7dt03758a2_1_ION_A,False,False,False,False
c7dt03758a2_1_ION_F,False,False,False,False
c7dt03758a2_2_ION_A,False,False,False,False
c7dt03758a2_2_ION_F,False,False,False,False
c7dt03758a2_3_ASR,False,False,False,False
c7dt03758a2_3_FSR,False,True,False,True
c7dt03758a2_4_ASR,False,False,False,False
c7dt03758a2_4_FSR,False,False,False,False
c7dt03758a2_5_FSR,False,False,False,False
c7dt03758a2_5_ION_A,False,False,False,False
c7dt03758a2_5_ION_F,False,False,False,False
c7dt03758a2_6_FSR,False,False,False,False
c7dt03758a2_6_ION_A,False,False,False,False
