,structure_name,structure_path,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
ALIDIL_ASR.cif_0,ALIDIL_ASR.cif,example,39.0,88.90585,5.0,3.0,1.22,190.0,0.0007274024378566716,0.09008870693483677,0.794314703687297,2.2680533524935886,3.7663962464347365,4.756622009732326,5.273434456976288,5.513975599770176,5.604025205942758,1.7234912588538134,0.042843819808022925,1.3991409223096215e-07,4.96094081052739,1.4310912073465798,3.093815244813971,0.15093798866313626,32.12833616244501,75.31859334659629,3.156978226228734,11.243750932640056,2.0122245818908473,129.34679502378637,-32.12833616244501,-75.31859334659629,-3.156978226228734,10.615838027725118,2.0122245818908473,-129.34679502378637,-31.0,-72.90645,-3.0,13.0,2.2199999999999998,-114.0,-38.0,-87.89791,-4.0,-2.0,0.9800000000000002,-159.0
ALIDIL_ASR.cif_1,ALIDIL_ASR.cif,example,39.0,88.90585,5.0,3.0,1.22,190.0,0.0007274024378566772,0.09008870693483709,0.7943147036872984,2.26805335249359,3.766396246434737,4.756622009732326,5.273434456976287,5.513975599770174,5.604025205942759,1.7234912588538143,0.042843819808023105,1.3991409223096477e-07,4.960940810527389,1.4310912073465814,3.0938152448139724,0.15093798866313657,32.12833616244501,75.31859334659629,3.156978226228734,11.243750932640056,2.0122245818908486,129.34679502378634,-32.12833616244501,-75.31859334659629,-3.156978226228734,10.615838027725118,2.0122245818908486,-129.34679502378634,-31.0,-72.90645,-3.0,13.0,2.2199999999999998,-114.0,-38.0,-87.89791,-4.0,-2.0,0.9800000000000002,-159.0
ALIDIL_ASR.cif_2,ALIDIL_ASR.cif,example,39.0,88.90585,5.0,3.0,1.22,190.0,0.0007274024378566728,0.09008870693483689,0.7943147036872976,2.2680533524935895,3.766396246434738,4.756622009732327,5.27343445697629,5.513975599770177,5.604025205942758,1.723491258853814,0.04284381980802297,1.3991409223096313e-07,4.960940810527392,1.4310912073465805,3.093815244813975,0.1509379886631363,32.128336162445,75.3185933465963,3.156978226228734,11.243750932640058,2.0122245818908486,129.34679502378634,-32.128336162445,-75.3185933465963,-3.156978226228734,10.61583802772512,2.0122245818908486,-129.34679502378634,-31.0,-72.90645,-3.0,13.0,2.2199999999999998,-114.0,-38.0,-87.89791,-4.0,-2.0,0.9800000000000002,-159.0
ALIDIL_ASR.cif_3,ALIDIL_ASR.cif,example,39.0,88.90585,5.0,3.0,1.22,190.0,0.0007274024378566717,0.09008870693483673,0.7943147036872968,2.2680533524935877,3.7663962464347356,4.7566220097323235,5.273434456976284,5.513975599770174,5.604025205942756,1.7234912588538123,0.04284381980802291,1.399140922309629e-07,4.9609408105273864,1.4310912073465785,3.0938152448139697,0.15093798866313612,32.128336162445024,75.3185933465963,3.156978226228735,11.24375093264005,2.0122245818908477,129.3467950237864,-32.128336162445024,-75.3185933465963,-3.156978226228735,10.615838027725113,2.0122245818908477,-129.3467950237864,-31.0,-72.90645,-3.0,13.0,2.2199999999999998,-114.0,-38.0,-87.89791,-4.0,-2.0,0.9800000000000002,-159.0
ALIDIL_ASR.cif_4,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.23957899549968112,0.6275339702546785,1.4162894250613791,2.5883885596349145,3.674692617602949,4.37458140894379,4.737042641699603,4.905286853253669,4.968208224787236,2.176260997205776,0.5196010530873243,0.05746486324489912,7.1902311685356555,1.6013785342195164,4.787912075865603,0.1390325056093769,7.194719391470406,15.80586232855565,1.0829295439701963,12.959232477708913,0.8117760117843376,42.773025610577776,7.194719391470406,15.80586232855565,1.0829295439701963,12.959232477708913,0.7282188117780846,42.773025610577776,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_ASR.cif_5,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.23957899549968217,0.62753397025468,1.4162894250613811,2.5883885596349163,3.6746926176029517,4.374581408943793,4.737042641699605,4.905286853253672,4.9682082247872374,2.1762609972057785,0.5196010530873255,0.057464863244899564,7.190231168535663,1.6013785342195153,4.787912075865614,0.1390325056093773,7.194719391470405,15.805862328555644,1.0829295439701963,12.959232477708921,0.811776011784338,42.77302561057777,7.194719391470405,15.805862328555644,1.0829295439701963,12.959232477708921,0.7282188117780852,42.77302561057777,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_ASR.cif_6,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.2395789954996827,0.6275339702546802,1.4162894250613807,2.5883885596349163,3.674692617602951,4.374581408943792,4.737042641699604,4.90528685325367,4.968208224787235,2.176260997205777,0.5196010530873261,0.0574648632448999,7.190231168535662,1.6013785342195141,4.787912075865612,0.13903250560937708,7.194719391470406,15.805862328555651,1.0829295439701967,12.95923247770892,0.8117760117843381,42.77302561057778,7.194719391470406,15.805862328555651,1.0829295439701967,12.95923247770892,0.7282188117780852,42.77302561057778,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_ASR.cif_7,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.23957899549968234,0.62753397025468,1.4162894250613802,2.5883885596349163,3.6746926176029495,4.37458140894379,4.737042641699604,4.905286853253668,4.968208224787235,2.1762609972057767,0.5196010530873257,0.05746486324489972,7.190231168535655,1.6013785342195128,4.7879120758656075,0.1390325056093768,7.194719391470412,15.805862328555664,1.0829295439701971,12.959232477708913,0.8117760117843377,42.773025610577804,7.194719391470412,15.805862328555664,1.0829295439701971,12.959232477708913,0.7282188117780842,42.773025610577804,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_ASR.cif_8,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24076854506104947,0.6310072663579944,1.4713872941785806,2.861058423181042,4.235506429632736,5.141991006658569,5.615042088074179,5.835208786900155,5.917629490450017,2.3573691130177052,0.5217805758593519,0.058027985804203396,8.901422443985771,2.0234955734682667,5.961180304164862,0.198189458010138,15.282630166204642,34.710663880479956,1.8372806279865255,10.08373362897193,0.8892089029527548,72.38623971211624,15.282630166204642,34.710663880479956,1.8372806279865255,10.08373362897193,0.3157030579556247,72.38623971211624,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_ASR.cif_9,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24076854506105014,0.6310072663579945,1.4713872941785797,2.86105842318104,4.235506429632733,5.141991006658567,5.6150420880741745,5.835208786900154,5.9176294904500155,2.3573691130177035,0.5217805758593521,0.05802798580420366,8.901422443985759,2.0234955734682702,5.961180304164841,0.198189458010138,15.282630166204635,34.71066388047994,1.837280627986525,10.083733628971927,0.8892089029527542,72.38623971211621,15.282630166204635,34.71066388047994,1.837280627986525,10.083733628971927,0.31570305795562453,72.38623971211621,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
