,structure_name,structure_path,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
ALIDIL_FSR.cif_0,ALIDIL_FSR.cif,example,39.0,88.90585,5.0,3.0,1.22,190.0,0.0009230804158497517,0.12082818604182889,1.1220696216970365,3.336569339605314,5.656996344726478,7.208724169416421,8.022157182043205,8.40140378505096,8.543473979705508,2.5069448232330958,0.056841791790342,1.62985611416745e-07,10.19758977269663,3.2431601402689165,5.9579367169800985,0.3177978032202836,31.054750286925696,73.02370524806216,3.0078214695608136,12.913963834831048,2.2103013777445906,124.27375143462847,-31.054750286925696,-73.02370524806216,-3.0078214695608136,12.882677956587795,2.2103013777445906,-124.27375143462847,-31.0,-72.90645,-3.0,13.0,2.2199999999999998,-124.0,-38.0,-87.89791,-4.0,-2.0,0.9800000000000002,-159.0
ALIDIL_FSR.cif_1,ALIDIL_FSR.cif,example,39.0,88.90585,5.0,3.0,1.22,190.0,0.0009230804158497549,0.12082818604182906,1.122069621697037,3.3365693396053135,5.656996344726478,7.208724169416421,8.022157182043205,8.40140378505096,8.543473979705508,2.5069448232330958,0.056841791790342086,1.629856114167471e-07,10.197589772696626,3.243160140268918,5.957936716980096,0.3177978032202839,31.0547502869257,73.02370524806217,3.0078214695608136,12.91396383483105,2.210301377744591,124.27375143462851,-31.0547502869257,-73.02370524806217,-3.0078214695608136,12.882677956587793,2.210301377744591,-124.27375143462851,-31.0,-72.90645,-3.0,13.0,2.2199999999999998,-124.0,-38.0,-87.89791,-4.0,-2.0,0.9800000000000002,-159.0
ALIDIL_FSR.cif_2,ALIDIL_FSR.cif,example,39.0,88.90585,5.0,3.0,1.22,190.0,0.0009230804158497504,0.12082818604182884,1.1220696216970358,3.3365693396053144,5.65699634472648,7.208724169416422,8.02215718204321,8.401403785050958,8.54347397970551,2.5069448232330953,0.05684179179034196,1.6298561141674544e-07,10.197589772696631,3.2431601402689165,5.957936716980102,0.3177978032202834,31.0547502869257,73.02370524806217,3.0078214695608136,12.913963834831048,2.2103013777445906,124.27375143462848,-31.0547502869257,-73.02370524806217,-3.0078214695608136,12.882677956587791,2.2103013777445906,-124.27375143462848,-31.0,-72.90645,-3.0,13.0,2.2199999999999998,-124.0,-38.0,-87.89791,-4.0,-2.0,0.9800000000000002,-159.0
ALIDIL_FSR.cif_3,ALIDIL_FSR.cif,example,39.0,88.90585,5.0,3.0,1.22,190.0,0.0009230804158497497,0.12082818604182871,1.1220696216970356,3.336569339605312,5.656996344726479,7.208724169416417,8.022157182043204,8.401403785050958,8.543473979705507,2.506944823233094,0.056841791790341906,1.6298561141674518e-07,10.19758977269662,3.243160140268917,5.957936716980097,0.3177978032202833,31.054750286925703,73.02370524806217,3.0078214695608136,12.913963834831051,2.2103013777445906,124.2737514346285,-31.054750286925703,-73.02370524806217,-3.0078214695608136,12.882677956587793,2.2103013777445906,-124.2737514346285,-31.0,-72.90645,-3.0,13.0,2.2199999999999998,-124.0,-38.0,-87.89791,-4.0,-2.0,0.9800000000000002,-159.0
ALIDIL_FSR.cif_4,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.2396239201086528,0.6436458689539494,1.6222582589618997,3.209036577919711,4.678994862779564,5.613352175495494,6.093302188331272,6.31522591744858,6.398088792455935,2.6474506827307165,0.5261552231274175,0.05746486441317997,9.528357844078117,2.6974452811647183,6.267027522137807,0.4992366225256695,4.131252599995303,8.960611589529513,0.699748757751022,9.729242662003479,0.5263784862147437,28.326150042595017,4.131252599995303,8.960611589529513,0.699748757751022,9.729242662003479,0.5263784862147437,28.326150042595017,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_5,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.23962392010865385,0.6436458689539508,1.6222582589619008,3.2090365779197114,4.678994862779564,5.613352175495494,6.093302188331272,6.315225917448581,6.398088792455934,2.647450682730718,0.5261552231274188,0.057464864413180425,9.528357844078117,2.697445281164717,6.267027522137813,0.49923662252566886,4.131252599995304,8.960611589529515,0.6997487577510222,9.729242662003482,0.5263784862147435,28.32615004259503,4.131252599995304,8.960611589529515,0.6997487577510222,9.729242662003482,0.5263784862147435,28.32615004259503,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_6,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.2396239201086544,0.643645868953951,1.6222582589619006,3.2090365779197128,4.678994862779563,5.613352175495493,6.093302188331272,6.315225917448581,6.398088792455933,2.647450682730717,0.5261552231274194,0.05746486441318075,9.528357844078121,2.697445281164716,6.2670275221378136,0.49923662252566925,4.131252599995308,8.960611589529522,0.6997487577510226,9.72924266200349,0.5263784862147443,28.326150042595046,4.131252599995308,8.960611589529522,0.6997487577510226,9.72924266200349,0.5263784862147443,28.326150042595046,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_7,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.239623920108654,0.6436458689539507,1.6222582589619001,3.209036577919712,4.678994862779564,5.613352175495491,6.093302188331272,6.315225917448578,6.398088792455933,2.6474506827307165,0.526155223127419,0.05746486441318058,9.528357844078112,2.6974452811647156,6.267027522137807,0.4992366225256692,4.131252599995306,8.960611589529519,0.6997487577510224,9.729242662003484,0.5263784862147438,28.326150042595042,4.131252599995306,8.960611589529519,0.6997487577510224,9.729242662003484,0.5263784862147438,28.326150042595042,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_8,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24089428370637975,0.6492811176032984,1.711830326249527,3.8700882686561253,6.299272870749719,8.004203538850165,8.918529269315723,9.349071568006723,9.511014025909683,3.044144597840252,0.53003404880822,0.058028004589218675,14.19869410137046,4.126629016247805,8.93687183616154,0.5863517060852607,3.3428827411805924,7.24693918599133,0.5626143210228952,7.8437973093637545,0.432680967907435,22.6685887656997,3.3428827411805924,7.24693918599133,0.5626143210228952,7.8437973093637545,0.432680967907435,22.6685887656997,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_9,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24089428370638044,0.6492811176032983,1.7118303262495254,3.870088268656123,6.299272870749718,8.004203538850161,8.91852926931572,9.349071568006714,9.511014025909677,3.04414459784025,0.5300340488082201,0.05802800458921893,14.19869410137044,4.126629016247812,8.936871836161513,0.5863517060852608,3.3428827411805915,7.2469391859913275,0.5626143210228951,7.843797309363753,0.4326809679074346,22.668588765699702,3.3428827411805915,7.2469391859913275,0.5626143210228951,7.843797309363753,0.4326809679074346,22.668588765699702,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
