name,type,parameter1,parameter2,print_to_output,element,print_as,oxidation,mass,charge,polarization,source
Ac,lennard-jones,16.60625,3.09855,yes,Ac,Ac,0,227.0278,0,0,UFF
Ag,lennard-jones,18.1159,2.80455,yes,Ag,Ag,0,107.8682,0,0,UFF
Al,lennard-jones,155.9981,3.91105,yes,Al,Al,0,26.982,0,0,DREIDING
Am,lennard-jones,7.04507,3.01213,yes,Am,Am,0,243.0614,0,0,UFF
Ar,lennard-jones,93.09564,3.446,yes,Ar,Ar,0,39.95,0,0,UFF
As,lennard-jones,206.32,3.69723,yes,As,As,0,74.9216,0,0,DREIDING
At,lennard-jones,142.91436,4.23177,yes,At,At,0,209.9871,0,0,UFF
Au,lennard-jones,19.62556,2.93373,yes,Au,Au,0,196.96657,0,0,UFF
B,lennard-jones,47.8058,3.58141,yes,B,B,0,10.811,0,0,DREIDING
Ba,lennard-jones,183.17192,3.299,yes,Ba,Ba,0,137.327,0,0,UFF
Be,lennard-jones,42.77366,2.44552,yes,Be,Be,0,9.01218,0,0,UFF
Bi,lennard-jones,260.66774,3.89323,yes,Bi,Bi,0,208.9804,0,0,UFF
Bk,lennard-jones,6.54185,2.97471,yes,Bk,Bk,0,247.0703,0,0,UFF
Br,lennard-jones,186.1912,3.51905,yes,Br,Br,0,79.904,0,0,DREIDING
C,lennard-jones,47.8562,3.47299,yes,C,C,0,12.0107,0,0,DREIDING
C_co2,lennard-jones,27,2.8,yes,C,C,0,12.011,0.7,0,TraPPE
Ca,lennard-jones,25.16097868,3.093204009,yes,Ca,Ca,0,40.078,0,0,DREIDING
Cd,lennard-jones,114.7341,2.53728,yes,Cd,Cd,0,112.411,0,0,UFF
Ce,lennard-jones,6.54185,3.16804,yes,Ce,Ce,0,140.116,0,0,UFF
Cf,lennard-jones,6.54185,2.95155,yes,Cf,Cf,0,251.0796,0,0,UFF
ch4,lennard-jones,148,3.73,yes,C,C,0,16.043,0,0,TraPPE
Cl,lennard-jones,142.5621,3.51932,yes,Cl,Cl,0,35.45,0,0,DREIDING
Cm,lennard-jones,6.54185,2.96313,yes,Cm,Cm,0,247.0703,0,0,UFF
Co,lennard-jones,7.04507,2.55866,yes,Co,Co,0,58.93319,0,0,UFF
Cr,lennard-jones,7.54829,2.93187,yes,Cr,Cr,0,51.9961,0,0,UFF
Cs,lennard-jones,22.64488,4.02419,yes,Cs,Cs,0,132.90545,0,0,UFF
Cu,lennard-jones,2.5161,3.11369,yes,Cu,Cu,0,63.546,0,0,UFF
Dy,lennard-jones,3.52254,3.054,yes,Dy,Dy,0,162.5,0,0,UFF
